Time - Data	Voltage(V) or Current(A) - Data
오후 4:26:20	0.00655546
오후 4:26:20	0.00638712
오후 4:26:21	0.0063238
오후 4:26:21	0.00631655
오후 4:26:21	0.00626804
오후 4:26:21	0.00624845
오후 4:26:22	0.00623039
오후 4:26:22	0.00612826
오후 4:26:22	0.00614401
오후 4:26:23	0.0061368
오후 4:26:23	0.00612662
오후 4:26:23	0.00610949
오후 4:26:23	0.00769201
오후 4:26:24	0.00650639
오후 4:26:24	0.00635428
오후 4:26:24	0.00848442
오후 4:26:25	0.00602447
오후 4:26:25	0.00595137
오후 4:26:25	0.00585508
오후 4:26:25	0.00591769
오후 4:26:26	0.006075
오후 4:26:26	0.00602484
오후 4:26:26	0.00600621
오후 4:26:27	0.0081601
오후 4:26:27	0.00574531
오후 4:26:27	0.0057819
오후 4:26:27	0.00579349
오후 4:26:28	0.00583868
오후 4:26:28	0.00594751
오후 4:26:28	0.00589574
오후 4:26:29	0.00585611
오후 4:26:29	0.00817387
오후 4:26:29	0.00589048
오후 4:26:29	0.00583327
오후 4:26:30	0.00584034
오후 4:26:30	0.00583888
오후 4:26:30	0.00592583
오후 4:26:30	0.0059399
오후 4:26:31	0.00595137
오후 4:26:31	0.00814693
오후 4:26:31	0.00592368
오후 4:26:32	0.00578452
오후 4:26:32	0.00581805
오후 4:26:32	0.00585824
오후 4:26:32	0.00590438
오후 4:26:33	0.00589005
오후 4:26:33	0.00581681
오후 4:26:33	0.00812422
오후 4:26:34	0.00585364
오후 4:26:34	0.00579398
오후 4:26:34	0.00580013
오후 4:26:34	0.00586846
오후 4:26:35	0.00580168
오후 4:26:35	0.00584743
오후 4:26:35	0.00586328
오후 4:26:36	0.0080513
오후 4:26:36	0.0058017
오후 4:26:36	0.00575051
오후 4:26:36	0.00574411
오후 4:26:37	0.00582588
오후 4:26:37	0.0058584
오후 4:26:37	0.00585674
오후 4:26:38	0.00585002
오후 4:26:38	0.00812211
오후 4:26:38	0.00581321
오후 4:26:38	0.00579835
오후 4:26:39	0.00580112
오후 4:26:39	0.00587802
오후 4:26:39	0.00586576
오후 4:26:40	0.0058095
오후 4:26:40	0.00587441
오후 4:26:40	0.0080591
오후 4:26:40	0.00583883
오후 4:26:41	0.00586253
오후 4:26:41	0.00582971
오후 4:26:41	0.00588213
오후 4:26:41	0.00593984
오후 4:26:42	0.00597955
오후 4:26:42	0.00602372
오후 4:26:42	0.00842423
오후 4:26:43	0.00594841
오후 4:26:43	0.00596911
오후 4:26:43	0.00596994
오후 4:26:43	0.00603634
오후 4:26:44	0.00603796
오후 4:26:44	0.0060149
오후 4:26:44	0.00595781
오후 4:26:45	0.00689958
오후 4:26:45	0.00554089
오후 4:26:45	0.00572216
오후 4:26:45	0.00580657
오후 4:26:46	0.00579249
오후 4:26:46	0.00584463
오후 4:26:46	0.00589745
오후 4:26:47	0.00593116
오후 4:26:47	0.00596313
오후 4:26:47	0.00598673
오후 4:26:47	0.0059398
오후 4:26:48	0.00601196
오후 4:26:48	0.00604489
